,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
FERNANDEZ PABLO JAVIER,65,?,0,FRANZINO CARLOS (35),947.89,7,15,TANDIL (BA),32.58,0.00,27.57,46,,,,,,,,,,,,,,,,,,,,0
MOSCONI SILVIO,66,?,0,VILLALBA IVAN (37),933.74,6,14,RICARDONE (SF),0.00,0.00,0.00,39,,,,,,,,,,,,,,,,,,,,0
ARMENGOL LUCAS,67,?,0,REVELANTE FABIO (58),907.60,7,15,BAHIA BLANCA (BA),29.97,0.00,27.57,41,,,,,,,,,,,,,,,,,,,,0
NOGUERA NAHUEL JORGE,68,?,0,JARA PINTO ANGELO (47),898.97,7,15,BAHIA BLANCA (BA),26.34,49.43,25.37,44,,,,,,,,,,,,,,,,,,,,0
FERNANDEZ DANIEL,69,?,0,CARUSILLO ELTON DANIEL (33),883.67,4,14,BUENOS AIRES (BA),0.00,0.00,0.00,36,,,,,,,,,,,,,,,,,,,,0
ROLON JUAN MANUEL,70,?,0,CEÑAL RAMIRO (44),848.52,6,8,VILLA GESELL (BA),0.00,0.00,0.00,46,,,,,,,,,,,,,,,,,,,,0
NAZ JOAQUIN,71,?,0,GIMENEZ MAXIMILIANO (32),836.86,8,13,LA PLATA (BA),0.00,0.00,0.00,39,,,,,,,,,,,,,,,,,,,,0
PONTINI JUAN,72,?,0,MORETTO JUAN PABLO (42),826.17,5,14,ROSARIO (SF),0.00,0.00,0.00,27,,,,,,,,,,,,,,,,,,,,0
OTERO CRISTIAN,73,?,0,ESPINDOLA MAXIMILIANO (37),810.72,5,15,BELLA ITALIA (SF),11.02,0.00,0.00,52,,,,,,,,,,,,,,,,,,,,0
COLLAZO GUILLERMO,74,?,0,GUTIERREZ BRIAN (36),795.80,7,15,ROSARIO (SF),5.66,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
GIULIANELLI MAURO,75,?,0,AVALOS LEONARDO (35),794.75,5,14,BAHIA BLANCA (BA),0.00,32.58,0.00,47,,,,,,,,,,,,,,,,,,,,0
PETTI VIERA SEBASTIAN,76,?,0,WILLINER JAVIER (44),769.54,6,13,RAFAELA (SF),0.00,0.00,0.00,53,,,,,,,,,,,,,,,,,,,,0
BRUTTI ADRIAN,77,?,0,FERNANDEZ ALFREDO (44),766.02,8,15,LA PLATA (BA),18.87,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
BARRIONUEVO MARCOS,78,?,0,WILLINER CONRADO (33),765.31,3,13,SUNCHALES (SF),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
RUIZ BRAIAN,79,?,0,GOMEZ CARLOS (55),753.93,5,15,TANDIL (BA),28.63,0.00,0.00,43,,,,,,,,,,,,,,,,,,,,0
OCAMPO CRISTIAN ANIBAL,80,?,0,OBREGON SANTIAGO NICOLAS (23),716.55,7,14,BAHIA BLANCA (BA),0.00,35.41,0.00,34,,,,,,,,,,,,,,,,,,,,0
CASTELLANO PABLO,81,?,0,SANTILLAN SERGIO ANDRES (54),704.49,7,15,ROSARIO (SF),27.57,0.00,19.75,39,,,,,,,,,,,,,,,,,,,,0
